,airbnb_id,airbnb_name,host_id,price,room_type,number_of_reviews,availability_365
146644,30394494,"Charming Chelsea 1BR w/ Office nook, near Union Sq by Blueground",107434423,253,Entire home/apt,0,338
146645,30394518,Opulent FiDi Studio w/ Great Rooftop + Gym by Blueground,107434423,195,Entire home/apt,1,276
146646,30394541,Bright 1BR w/ Gym near Chelsea Mkt + Meatpacking by Blueground,107434423,229,Entire home/apt,0,345
146647,30394622,"Ideal Chelsea 1BR w/ Office nook, Balcony, Doorman by Blueground",107434423,264,Entire home/apt,0,358
146648,30394691,Explore NYC from its best nabe! 1 blck from subway,136900522,150,Entire home/apt,1,0
146649,30395433,Gorgeous NYC apt.  Best Location! Non smokers.,27698539,165,Entire home/apt,23,341
146650,30395737,Private Bed in Brooklyn,216235179,34,Private room,0,342
146651,30396100,Private Beautiful Bedroom in Prime Bushwick!,216235179,36,Private room,2,365
146652,30396953,Bright South Slope Studio,34866807,145,Entire home/apt,54,125
146653,30397278,Cozy loft bed,228250502,69,Shared room,18,90
146654,30398373,Fifth Ave/Central Park Studio Apt,228257645,124,Entire home/apt,7,62
146655,30398902,Cozy 1 bedroom in the heart of Hell's Kitchen!,14501006,430,Entire home/apt,0,0
146656,30398938,#10 Perfect Location in Manhattan,211549023,76,Entire home/apt,40,347
146657,30399177,Next to train-Spacious-Sleeps 2-Flex Chk In Times,228263278,160,Private room,2,178
146658,30399838,Spacious 3 bedroom 2 bathroom Upper West Side home,228268284,700,Entire home/apt,1,0
146659,30399969,Cozy Two Bedroom Apartment in Greenpoint,129312581,125,Entire home/apt,0,0
146660,30400390,Cozy Exposed Brick Apartment in Brooklyn !,48138946,139,Entire home/apt,22,174
146661,30400465,Newly Renovated Original Brownstone Studio Space!,1575372,95,Entire home/apt,8,140
146662,30400542,Amazingly located private room with huge space!,137358866,41,Private room,0,272
146663,30400750,Luxury one bedroom  with private garden,37170601,132,Entire home/apt,4,282
146664,30400980,Cozy 2 Bed/1 Bath in the heart of Red Hook,62869020,80,Entire home/apt,2,0
146665,30401429,Lovely room in convenient location. J/M & L trains,58344344,41,Private room,80,0
146666,30402045,Large private room in 2nd floor apartment.,171673961,25,Private room,2,0
146667,30406311,Private room (Bee Room) in Bushwick Brownstone,40305031,75,Private room,12,364
146668,30406899,Private room (Paris Room) in Bushwick Brownstone,40305031,70,Private room,18,364
146669,30407158,BEAUTIFUL PRIVATE ROOM IN EAST VILLAGE,228321090,100,Private room,28,230
146670,30407308,La Greka,109843377,55,Private room,0,178
146671,30408787,Clean + Comfortable Bedroom in West Harlem,228332039,30,Private room,4,0
146672,30415541,"LIC Boho Coze | 2 beds, 5 mins to City!",33320745,125,Entire home/apt,19,295
146673,30416267,House of Stylez,15377463,65,Private room,0,0
146674,30416355,Manhattan Mega Mansion!!!!,162299538,7500,Entire home/apt,2,90
146675,30417368,Great 1br near Prospect Park,129732248,95,Entire home/apt,26,0
146676,30417665,GETAWAY 4 COUPLES.  Game night. Sleep 5. Free Park,71276635,499,Entire home/apt,32,365
146677,30417877,Private Room in Brooklyn Close to Metro!,25077909,50,Private room,35,240
146678,30418156,Midtown luxury apartment near Grand Central,24346280,130,Private room,4,0
146679,30418905,Private Room In Brooklyn Community House,35746135,32,Private room,9,0
146680,30418906,"Cozy, sweet and quiet space",212692495,60,Shared room,11,89
146681,30420809,Brooklyn Brownstone,179436298,110,Entire home/apt,19,182
146682,30421561,"Ideal UES 1BR w/ Doorman, near Central Park by Blueground",107434423,298,Entire home/apt,1,94
146683,30421730,2 BR/2BA Modern Apt in Prime TriBeCa Location,65797727,300,Entire home/apt,0,0
146684,30421742,"""Mi casa es su casa"" Welcome home",224315550,80,Private room,59,157
146685,30421981,Nolita/SoHo! Location! Views! Elevator! Free Gym!,506779,304,Entire home/apt,0,364
146686,30422332,"Huge, Beautiful Apt perfect for Holidays in Harlem",8661991,125,Entire home/apt,1,0
146687,30422813,Studio in East Williamsburg - Steps to Subway,158970159,90,Entire home/apt,1,0
146688,30423106,Lou's Palace & Retreat 1-so much for so little,228415932,48,Private room,187,180
146689,30424707,"Beautiful, comfortable 1bedroom in Hell's Kitchen!",34292000,150,Entire home/apt,9,0
146690,30425770,Queens Corner Lot,128580688,232,Entire home/apt,101,339
146691,30426001,Central Park North apartment share,228437214,44,Private room,92,0
146692,30427669,Private Rooms in Brooklyn,78104160,35,Private room,3,0
146693,30428469,"Cozy, spacious Studio located on Upper East Side",29411875,125,Entire home/apt,3,0
146694,30428730,Charming Studio in the heart of West Village,17618432,215,Entire home/apt,3,0
146695,30429469,Time Square - DOUBLE DOUBLE ROOM,224414117,299,Hotel room,38,191
146696,30429620,BIG APPLE - SUNNY  DOUBLE DOUBLE,224414117,299,Hotel room,22,191
146697,30429780,GOTHAM  - DOUBLE DOUBLE,224414117,299,Hotel room,30,191
146698,30429970,TIME SQ WEST- COZY DOUBLE DOUBLE,224414117,299,Hotel room,51,191
146699,30430139,TIME SQ WEST-COZY KING ROOM,224414117,269,Hotel room,28,191
146700,30430163,Apartment in south Williamsburg,96089493,50,Private room,1,0
146701,30430185,BIG APPLE - COMFY KING ROOM,224414117,269,Hotel room,29,191
146702,30430235,MANHATTAN WEST - SUNNY KING ROOM,224414117,269,Hotel room,43,191
146703,30430294,MADISON SQ - COZY KING ROOM,224414117,269,Hotel room,26,191
146704,30430747,Google studio,154617969,53,Entire home/apt,1,89
146705,30432254,"Beautifully lit, newly renovated bushwick home",284199,60,Private room,0,0
146706,30434346,"Prime Bedford sunny rm in 1bd apt, near L station.",1395530,50,Private room,3,179
146707,30437094,Private apartment in 3 family house: Greenpoint,51220825,150,Entire home/apt,1,0
146708,30437291,Beautiful large room Manhattan/Roosevelt Island,228524640,55,Private room,1,365
146709,30437417,Spacious 1 Bedroom Brooklyn Apartment,1627760,125,Entire home/apt,3,0
146710,30438095,Clean 1 bed apt close to the city & with free gym,105367031,90,Entire home/apt,4,365
146711,30438204,Bright and Lovely Room Near Manhattan and LGA,137358866,27,Private room,6,282
146712,30438251,New York Highrise,228536894,33,Private room,2,0
146713,30438271,Large Bedroom Next to Central Park,31610838,84,Private room,9,0
146714,30439073,Gorgeous Long Island City 2  bedroom Condo,5732940,300,Entire home/apt,1,363
146715,30439210,Charming 2 Bedroom in Park Slope,3548411,175,Entire home/apt,39,318
146716,30439398,Super Sunny Room in Calm Bed-Stuy Apartment,47152279,40,Private room,6,0
146717,30439600,"NY Penthouse in Midtown, Near everything Christmas",209964870,199,Entire home/apt,1,0
146718,30439783,The Halsey Treehouse,138573840,90,Private room,2,0
146719,30440436,Peaceful friendly Spot,143509248,41,Private room,6,63
146720,30440488,Gorgeous Private Bedroom in Madison,226410657,38,Private room,2,350
146721,30440712,Private Bedroom in Williamsburg Madison,226410657,38,Private room,4,365
146722,30440903,Amazing Private Bedroom in Bushwick Madison,226410657,39,Private room,1,365
146723,30441211,Excellent large private room - HK/Columbus Cir,7384820,76,Private room,65,143
146724,30441377,Great access/2min U can use 5 lines(EFMR7),200239515,43,Private room,0,15
146725,30441751,"Spacious, Sunny Apartment in Bed Stuy",28060043,325,Entire home/apt,3,88
146726,30442211,Whole Bedroom in Co-Living Space Madison,226410657,38,Private room,1,314
146727,30442257,"Luxury Building 15 mins from LES
Manhattan",40204585,180,Entire home/apt,3,0
146728,30442290,Modern Private Bedroom in Stuyvesant Madison,226410657,38,Private room,2,365
146729,30442333,Queens Getaway Apartment in New York City,228567385,128,Entire home/apt,30,354
146730,30442508,Bedroom in Brooklyn Madison in Co-living space.,226410657,38,Private room,0,365
146731,30442585,Luxury Private Bedroom in Williamsburg Madison,226410657,38,Private room,0,365
146732,30442720,Spacious room in the heart of Bushwick Madison.,226410657,38,Private room,2,365
146733,30442775,Cozy room in Astoria ideal for travelers on budget,220095360,27,Private room,0,0
146734,30442790,Great Private Bedroom at Great Price Madison,226410657,38,Private room,2,361
146735,30442870,Furnished Bedroom in Brooklyn Madison,226410657,38,Private room,3,313
146736,30442999,Private Bedroom in heart of Bushwick Madison,226410657,38,Private room,0,365
146737,30443030,"Harlem, NY Boutique Condominium (New Construction)",228571016,414,Entire home/apt,10,0
146738,30443032,Modern Williamsburg Beauty,10458297,154,Entire home/apt,2,28
146739,30443067,Beautiful Bedroom in Stuyvesant Madison,226410657,38,Private room,1,365
146740,30443115,Modern Bedroom in Williamsburg Madison,226410657,38,Private room,1,340
146741,30443961,"Cozy Private Bedroom in NYC ""LES"" Manhattan!",226503876,99,Private room,30,357
146742,30443976,Times Square Palace,193986289,2500,Entire home/apt,0,365
146743,30444003,Bright and Cozy Little Spot in Long Island City,8144643,90,Entire home/apt,0,0
146744,30444675,Lovely Apartment in Upper West,209943977,100,Entire home/apt,4,0
146745,30444773,Comfortable Space in the Center of Brooklyn,1157099,110,Entire home/apt,20,0
146746,30444886,A true NYC experience,10529251,77,Private room,48,22
146747,30445079,Spiritual Oasis in the East Village,37254146,149,Entire home/apt,3,0
146748,30445156,Great for students!,51842673,350,Shared room,0,0
146749,30445539,Cozy & clean private bedroom. Brooklyn NY,225291555,56,Private room,15,102
146750,30446253,"Affordable, quiet, tasteful bedspace",171198420,38,Private room,85,272
146751,30448539,Lower East Side Tenement Get Away,27421445,70,Private room,3,0
146752,30449111,Bxny Yankees,227856882,99,Private room,8,1
146753,30450834,Mina’s House,228622994,31,Private room,26,0
146754,30451593,Private Room+Garden Close to Trains!,27664722,38,Private room,5,0
146755,30452520,"Cozy bedroom in heart of Manhattan, next to Empire",20790185,100,Shared room,12,89
146756,30453281,✈︎ Ur Cool & Cozy Chambers ✈︎,69189948,53,Private room,37,0
146757,30457958,East village renovated studio,15397994,150,Entire home/apt,14,61
146758,30459160,Large 2 Bedroom Apt - Close to everything!,84147508,170,Entire home/apt,1,0
146759,30459902,Fantastic Lower East Side Flat! #backyard #cozy,224675231,165,Entire home/apt,57,311
146760,30460675,2 Bedroom Williamsburg Oasis w/Private Backyard,67727548,77,Entire home/apt,25,0
